City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,genhe,50.7833,121.5167,9.0,90,100,1.39,CN,1684976304
1,edinburgh of the seven seas,-37.0676,-12.3116,14.84,70,92,12.3,SH,1684976256
2,igarka,67.4667,86.5833,1.22,78,93,2.81,RU,1684976006
3,port-aux-francais,-49.35,70.2167,6.1,99,100,6.52,TF,1684976241
4,badger,64.8,-147.5333,21.4,35,100,4.12,US,1684976264
5,egilsstadir,65.2653,-14.3948,5.95,56,75,6.17,IS,1684976061
6,puerto baquerizo moreno,-0.9,-89.6,25.1,77,1,3.47,EC,1684976305
7,velikiy ustyug,60.7644,46.3106,15.56,95,100,3.79,RU,1684976305
8,sosnovo,60.5514,30.2144,10.62,66,0,2.35,RU,1684976305
9,ceerigaabo,10.6162,47.368,17.59,80,69,1.85,SO,1684976306
10,albany,42.6001,-73.9662,12.04,85,63,3.75,US,1684975837
11,adamstown,-25.066,-130.1015,23.71,71,58,2.57,PN,1684976250
12,invercargill,-46.4,168.35,14.7,70,97,3.45,NZ,1684975925
13,puerto natales,-51.7236,-72.4875,0.08,84,49,2.87,CL,1684975969
14,grytviken,-54.2811,-36.5092,0.67,55,50,2.4,GS,1684976252
15,saint-leu,-21.15,55.2833,22.48,95,100,5.19,RE,1684976307
16,yellowknife,62.456,-114.3525,14.29,62,75,2.06,CA,1684976249
17,sao gabriel da cachoeira,-0.1303,-67.0892,23.42,98,100,0.56,BR,1684976307
18,waitangi,-43.9535,-176.5597,12.12,69,29,2.68,NZ,1684976249
19,young,-32.6833,-57.6333,18.97,93,100,4.77,UY,1684976308
20,kas,36.2018,29.6377,17.52,72,23,2.16,TR,1684976308
21,kangding,30.0513,101.9603,15.42,76,43,0.96,CN,1684976308
22,aitape,-3.1374,142.3475,27.68,77,100,0.66,PG,1684976308
23,ciudad lazaro cardenas,17.9583,-102.2,28.25,71,100,3.77,MX,1684976309
24,nguigmi,14.2495,13.1092,31.12,36,7,4.02,NE,1684976126
25,sur,22.5667,59.5289,31.58,57,6,6.01,OM,1684976309
26,uturoa,-16.7333,-151.4333,27.37,69,3,1.19,PF,1684976020
27,as sulayyil,20.4607,45.5779,28.14,25,67,1.68,SA,1684976310
